St,_2MASS,Rmag,Kmag,pmRA,pmDE,SpT1,mbol,DMph,DMkin,RV,vsini,SpT,EWHa,EWLi,Mm,u_Mm,n_Mm,f_Mm,Opt,Denis,_RA,_DE,RA,DEC
b'C',b'01532494-6833226',15.100000381469727,10.180000305175781,98.0,-16.299999237060547,b'M5.0',13.020000457763672,2.009999990463257,3.200000047683716,9.800000190734863,11.600000381469727,b'M4.5',-14.449999809265137,-54.599998474121094,b'Y',b'',b'RV',b'',2.0,1.0,28.35392,-68.55628,28.35392,-68.55628
b'C',b'01570140-7721221',15.100000381469727,10.729999542236328,78.5,-13.899999618530273,b'M4.4',13.489999771118164,3.140000104904175,3.5999999046325684,54.400001525878906,4.699999809265137,b'M2.1',0.33000001311302185,-18.700000762939453,b'N',b'',b'H{alpha}',b'',2.0,2.0,29.25583,-77.35614,29.25583,-77.35614
b'C',b'02000918-8025009',10.0,8.020000457763672,77.69999694824219,6.699999809265137,b'K4.0',10.15999984741211,3.609999895095825,3.700000047683716,15.5,4.800000190734863,b'K3.7',0.5299999713897705,126.80000305175781,b'Y',b'',b'Li',b'',2.0,3.0,30.03825,-80.41692,30.03825,-80.41692
b'C',b'02001277-0840516',11.699999809265137,7.869999885559082,110.0,-65.69999694824219,b'M2.0',10.460000038146973,2.0199999809265137,2.9000000953674316,4.5,8.899999618530273,b'M2.1',-3.9700000286102295,-5.300000190734863,b'Y',b'',b'RV',b'',2.0,1.0,30.05321,-8.681,30.05321,-8.681
b'C',b'02001992-6614017',14.600000381469727,9.880000114440918,82.69999694824219,-14.100000381469727,b'M3.0',12.5600004196167,3.4700000286102295,3.5,11.800000190734863,16.200000762939453,b'M4.0',-6.190000057220459,-41.79999923706055,b'Y',b'',b'RV',b'',2.0,2.0,30.083,-66.23381,30.083,-66.23381
b'C',b'02045317-5346162',14.199999809265137,9.5600004196167,95.5999984741211,-30.899999618530273,b'M3.4',12.229999542236328,2.809999942779541,3.200000047683716,8.399999618530273,6.0,b'M3.8',-9.260000228881836,-29.799999237060547,b'Y',b'',b'RV',b'',3.0,0.0,31.22154,-53.77117,31.22154,-53.77117
b'C',b'02070176-4406380',11.800000190734863,8.399999618530273,95.69999694824219,-32.79999923706055,b'M1.2',10.9399995803833,2.869999885559082,3.200000047683716,11.100000381469727,4.699999809265137,b'M1.9',-2.619999885559082,-7.099999904632568,b'Y',b'',b'RV',b'2',2.0,1.0,31.75733,-44.11056,31.75733,-44.11056
b'C',b'02105538-4603588',10.300000190734863,8.609999656677246,54.79999923706055,-21.200000762939453,b'K3.2',10.640000343322754,4.28000020980835,4.400000095367432,24.700000762939453,19.799999237060547,b'K4.2',-0.7599999904632568,215.3000030517578,b'Y',b'',b'Li',b'',2.0,0.0,32.73075,-46.06633,32.73075,-46.06633
b'C',b'02125819-5851182',12.0,8.4399995803833,88.4000015258789,-16.100000381469727,b'M3.5',11.109999656677246,1.6100000143051147,3.4000000953674316,9.100000381469727,12.100000381469727,b'M1.9',-5.429999828338623,28.899999618530273,b'Y',b'',b'RV',b'',3.0,1.0,33.24246,-58.85506,33.24246,-58.85506
b'C',b'02153328-5627175',16.299999237060547,10.949999809265137,98.5999984741211,-29.299999237060547,b'M4.9',13.8100004196167,2.9100000858306885,3.0999999046325684,11.300000190734863,47.29999923706055,b'M6.2',-13.6899995803833,177.6999969482422,b'Y',b'',b'Li',b'',1.0,1.0,33.88867,-56.45486,33.88867,-56.45486
