designation,RA,DEC,glon,glat,w1mpro,w2mpro,w3mpro,w4mpro,pmra,pmdec,j_m_2mass,h_m_2mass,k_m_2mass,ra_2,raerr,dec_2,decerr,nobs,mobs,vjmag,bjmag,gmag,rmag,imag,evjmag,ebjmag,egmag,ermag,eimag,name,Separation
J172546.59-851301.3,261.444132,-85.2170468,307.8572445,-25.2962698,10.432,10.451,10.231,8.916,0,0,11.143,10.617,10.521,261.444213,0.301,-85.217051,0.232,4,25,12.928,13.709,13.261,12.658,12.381,0.023,0.016,0.022,0.031,0.039,20132891,0.028631882634596685
J125728.32-512521.6,194.3680017,-51.4226944,303.8915773,11.4378795,9.014,9.047,8.966,9.093,-20,19,9.806,9.233,9.169,194.368024,0.57,-51.4227,0.221,5,25,11.92,12.919,12.38,11.57,11.096,0.02,0.023,0.013,0.017,0.048,20162295,0.053967108706496986
J142905.40-744124.8,217.2725403,-74.6902496,309.363884,-13.0511703,11.005,11.03,10.862,8.674,21,18,11.655,11.15,11.051,217.272653,0.185,-74.69029,0.154,6,30,13.441,14.285,13.818,13.141,12.793,0.027,0.018,0.019,0.02,0.045,20162822,0.18063378956354698
J141754.26-742427.5,214.4760917,-74.4076571,308.7536459,-12.5214429,10.79,10.797,10.652,8.774,28,0,11.555,11.018,10.905,214.475924,0.293,-74.407687,0.272,6,30,13.603,14.557,14.051,13.259,12.903,0.012,0.051,0.02,0.028,0.069,20162822,0.19472892451270069
J173548.70-841224.8,263.9529495,-84.2069054,308.9860009,-25.1219076,12.772,12.809,12.45,8.729,NA,NA,13.615,13.018,12.973,263.954775,0.603,-84.205632,0.597,4,19,13.717,14.405,13.988,13.509,13.318,0.047,0.057,0.014,0.057,0.026,20132891,4.6319935738805
J120922.36-510632.3,182.3432072,-51.108974,296.2232717,11.2140913,10.97,10.965,10.798,8.648,20,-19,11.594,11.144,11.08,182.343105,0.553,-51.10896,0.342,4,20,13.11,13.861,13.46,12.89,12.696,0.006,0.037,0.023,0.006,0.174,20162293,0.2364297216537468
J123427.63-704058.5,188.6151533,-70.6829222,301.5157557,-7.8577831,10.64,10.639,10.58,9.233,0,0,11.418,10.939,10.794,188.615443,0.619,-70.683022,0.313,4,12,13.649,14.699,14.162,13.227,12.845,0.042,0.017,0.026,0.008,0.076,20162784,0.498098385866449
J123331.25-705813.4,188.3802295,-70.9704157,301.4578683,-8.1498773,10.034,10.003,10.002,9.308,56,7,10.896,10.372,10.231,188.380216,0.466,-70.97038,0.428,4,20,13.518,14.624,14.079,13.038,12.53,0.018,0.028,0.018,0.023,0.055,20162784,0.12949323252077968
J123608.25-704052.0,189.0344037,-70.6811162,301.6553654,-7.8472136,9.103,9.074,9.105,8.858,94,136,9.874,9.389,9.215,189.033901,0.351,-70.681334,0.7,2,14,12.234,13.26,12.759,11.827,11.287,0.016,0.022,0.031,0.022,0.032,20132744,0.9865196083462865
J124828.53-793531.3,192.1188834,-79.5920348,302.7922198,-16.7209978,9.525,9.503,9.45,8.825,-101,-39,10.334,9.814,9.611,192.118767,0.081,-79.592028,0.106,4,20,13.067,14.26,13.672,12.58,11.946,0.035,0.022,0.029,0.021,0.044,20162871,0.07956175504117727
J130620.88-802432.9,196.5870148,-80.4091626,303.5828595,-17.556172,10.938,10.923,10.955,9.165,-32,-45,11.757,11.208,11.07,196.587024,0.282,-80.409181,0.22,6,30,13.826,14.893,14.357,13.471,13.107,0.06,0.041,0.022,0.033,0.072,20162871,0.06646944873646995
J124326.69-785946.2,190.861243,-78.9961917,302.5349505,-16.1305126,11.033,11.047,11.089,9.134,-48,-27,11.734,11.202,11.11,190.861129,0.315,-78.996205,0.296,5,17,13.671,14.606,14.122,13.321,12.936,0.029,0.016,0.009,0.021,0.037,20162848,0.09180863890711013
J125952.23-783614.8,194.9676403,-78.6041386,303.3645929,-15.7393835,10.598,10.597,10.599,8.86,0,0,11.35,10.864,10.706,194.967436,0.322,-78.604201,0.314,4,18,13.725,14.827,14.274,13.247,12.866,0.046,0.033,0.008,0.063,0.096,20162849,0.26754661651203215
J123457.31-795923.0,188.7388212,-79.9897333,302.1829715,-17.1418696,10.558,10.533,10.429,9.246,-18,-52,11.335,10.753,10.557,188.738531,0.195,-79.989777,0.145,4,20,13.677,14.847,14.252,13.255,12.76,0.04,0.017,0.053,0.056,0.057,20162871,0.2402650660044472
J121337.83-515801.6,183.407644,-51.9671266,297.0262782,10.4706415,11.336,11.352,11.436,9.432,0,0,11.987,11.474,11.403,183.40769,0.336,-51.967057,0.257,4,17,13.806,14.587,14.188,13.532,13.162,0.055,0.02,0.031,0.024,0.081,20162373,0.2705367315120231
J132056.53-852623.3,200.2355782,-85.4398197,303.5654194,-22.6043134,10.895,10.908,10.847,8.727,22,-16,11.741,11.145,11.004,200.235185,0.347,-85.439838,0.189,5,17,13.913,15.028,14.469,13.523,13.084,0.035,0.072,0.033,0.031,0.032,20132898,0.1304068671944753
J133125.39-842912.2,202.8558327,-84.4867296,303.9603643,-21.6949104,11.05,11.08,11.064,9.245,-80,-23,11.767,11.208,11.117,202.85432,0.169,-84.486731,0.158,3,15,13.617,14.508,14.057,13.243,12.965,0.037,0.041,0.038,0.022,0.041,20132888,0.5232288139141745
J174158.66-785040.4,265.4944361,-78.8445603,314.5326449,-23.3268679,11.12,11.139,10.837,8.997,24,14,11.8,11.293,11.204,265.494453,0.155,-78.84456,0.165,3,13,13.632,14.53,14.053,13.364,13.015,0.008,0.006,0.016,0.014,0.01,20132854,0.011820241497118139
J122341.74-863411.1,185.9239295,-86.5697579,302.479742,-23.7222989,10.644,10.663,10.657,8.922,12,54,11.242,10.768,10.723,185.923865,0.194,-86.569766,0.142,2,10,12.987,13.734,13.299,12.746,12.368,0.008,0.008,0.024,0.011,0.014,20132898,0.03230059535515164
J120210.52-755259.1,180.5438682,-75.8831073,299.8675295,-13.3051956,10.218,10.216,10.212,8.868,-101,46,11.021,10.452,10.332,180.543095,0.749,-75.883127,0.254,4,20,13.361,14.477,13.904,12.977,12.528,0.033,0.027,0.019,0.028,0.03,20162819,0.6825969089408054
J121551.86-862528.0,183.9661212,-86.4244631,302.3291081,-23.5943333,8.219,8.247,8.155,7.933,-52,-19,8.933,8.359,8.272,183.965898,0.236,-86.424453,0.247,2,10,10.681,11.442,11.025,10.385,10.116,0.008,0.011,0.035,0.006,0.009,20132898,0.06191262274553373
J133730.08-771750.0,204.3753723,-77.2972461,305.5326817,-14.6586004,9.865,9.871,9.825,8.846,-55,8,10.606,10.076,9.96,204.375433,0.182,-77.297236,0.274,6,20,12.668,13.611,13.135,12.327,11.883,0.016,0.033,0.022,0.022,0.05,20162849,0.06025739553945241
J172336.48-761218.1,260.9020396,-76.205039,316.664352,-21.3139611,11.275,11.266,11.16,8.788,23,-108,11.996,11.485,11.393,260.902011,0.226,-76.205054,0.469,2,10,13.819,14.844,14.296,13.513,13.174,0.041,0.011,0.041,0.02,0.05,20132826,0.0593188996688362
J133022.32-774250.9,202.5930316,-77.7141533,305.066406,-15.003965,11.756,11.777,11.561,9.197,106,74,12.592,12.08,12.148,202.592552,0.452,-77.714155,0.421,6,29,13.982,14.857,14.401,13.707,13.382,0.018,0.051,0.04,0.027,0.069,20162849,0.3674439693836781
J135124.66-774153.3,207.8527855,-77.6981398,306.2065008,-15.2092536,13.28,13.301,12.523,9.001,NA,NA,14.017,13.525,13.477,207.856153,0.517,-77.6994,0.342,6,24,13.626,14.379,13.96,13.415,13.241,0.042,0.074,0.058,0.041,0.075,20162850,5.220421067159588
