Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M.MLP,SimbadName,RA,DEC
b'HD 19537',b'',b'H09',4.409999847412109,6030.0,9.17990039539518e-09,-0.2199999988079071,0.14000000059604645,-1.7999999523162842,0.10000000149011612,1.059999942779541,b'HD 19537',47.769166666666656,55.73305555555556
b'HD 19829',b'',b'H09',3.4100000858306885,6786.0,1.8633999232520182e-08,0.10000000149011612,-0.15000000596046448,,0.8999999761581421,2.1600000858306885,b'HD 19829',46.93541666666666,-65.91972222222223
b'HD 20407',b'',b'H09',4.46999979019165,5923.0,5.472200115264059e-08,-0.4399999976158142,0.20999999344348907,4.300000190734863,0.699999988079071,0.9900000095367432,b'HD 20407',48.77624999999999,-45.664722222222224
b'HD 20619',b'',b'H09',4.489999771118164,5751.0,4.164899891634377e-08,-0.23999999463558197,0.10999999940395355,22.5,0.20000000298023224,0.9800000190734863,b'HD 20619',49.75749999999999,-2.843055555555556
b'HD 21132',b'',b'H09',4.389999866485596,6416.0,2.0564000280387518e-08,-0.46000000834465027,0.20999999344348907,15.399999618530273,0.20000000298023224,1.1399999856948853,b'HD 21132',50.35083333333333,-61.488055555555555
b'HD 21618',b'',b'H09',4.320000171661377,6619.0,1.1893000362306339e-08,-0.17000000178813934,0.07000000029802322,35.5,0.4000000059604645,1.2799999713897705,b'HD 21618',51.219583333333325,-68.33444444444444
b'HD 21693',b'',b'H09',4.519999980926514,5496.0,1.897499934955249e-08,0.05000000074505806,-0.029999999329447746,39.099998474121094,0.10000000149011612,0.9399999976158142,b'HD 21693',51.80166666666666,-58.32361111111111
b'HD 22249',b'',b'H09',4.480000019073486,5684.0,9.187900218421419e-09,-0.2199999988079071,0.11999999731779099,15.600000381469727,0.30000001192092896,0.9599999785423279,b'HD 22249',53.26583333333332,-46.72222222222222
b'HD 22527',b'',b'H09',4.349999904632568,6319.0,2.656699926717465e-08,0.0,-0.019999999552965164,3.200000047683716,0.699999988079071,1.2100000381469727,b'HD 22527',53.24833333333333,-67.41944444444445
b'HD 22610',b'',b'H09',4.639999866485596,5027.0,5.2999999944347564e-09,-0.15000000596046448,-0.09000000357627869,-4.099999904632568,0.10000000149011612,0.7799999713897705,b'HD 22610',53.688333333333325,-62.45666666666667
b'HD 22697',b'',b'H09',4.289999961853027,7063.0,2.9060000628078342e-08,-0.019999999552965164,-0.029999999329447746,,0.20000000298023224,1.440000057220459,b'HD 22697',54.727083333333326,-1.5252777777777777
b'HD 22952',b'',b'H09',4.389999866485596,6290.0,1.531799931342448e-08,-0.20000000298023224,0.09000000357627869,8.399999618530273,0.10000000149011612,1.1399999856948853,b'HD 22952',55.36749999999999,12.607777777777777
b'HD 22992',b'',b'H09',4.340000152587891,6545.0,2.8870999813079834e-08,-0.1899999976158142,0.07999999821186066,19.399999618530273,0.10000000149011612,1.25,b'HD 22992',55.56625,22.78638888888889
b'HD 23000',b'',b'H09',4.289999961853027,6963.0,1.684500006149392e-08,-0.15000000596046448,0.029999999329447746,,0.5,1.3899999856948853,b'HD 23000',55.779999999999994,40.993611111111115
