HIP,Memb,Simbad,_RA,_DE,RA,DEC
78196.0,90.0,b'Simbad',239.49727,-31.72893,239.49727,-31.72893
78207.0,86.0,b'Simbad',239.54737,-14.27936,239.54737,-14.27936
78233.0,64.0,b'Simbad',239.62211,-21.40112,239.62211,-21.40112
78263.0,59.0,b'Simbad',239.70892,-32.05231,239.70892,-32.05231
78324.0,78.0,b'Simbad',239.87867,-40.86517,239.87867,-40.86517
78384.0,84.0,b'Simbad',240.03053,-38.39671,240.03053,-38.39671
78416.0,74.0,b'Simbad',240.13052,-36.08795,240.13052,-36.08795
78494.0,54.0,b'Simbad',240.361,-25.1985,240.361,-25.1985
78530.0,76.0,b'Simbad',240.48106,-21.98039,240.48106,-21.98039
78533.0,88.0,b'Simbad',240.49527,-37.53437,240.49527,-37.53437
78549.0,89.0,b'Simbad',240.55648,-22.68756,240.55648,-22.68756
78555.0,89.0,b'Simbad',240.5772,-35.26994,240.5772,-35.26994
78581.0,86.0,b'Simbad',240.68397,-30.66709,240.68397,-30.66709
78641.0,91.0,b'Simbad',240.80642,-35.28749,240.80642,-35.28749
78655.0,90.0,b'Simbad',240.85079,-38.60254,240.85079,-38.60254
78663.0,88.0,b'Simbad',240.88927,-30.13704,240.88927,-30.13704
78702.0,90.0,b'Simbad',241.001,-19.76748,241.001,-19.76748
78711.0,63.0,b'Simbad',241.02967,-35.17684,241.02967,-35.17684
78754.0,73.0,b'Simbad',241.17635,-37.81613,241.17635,-37.81613
78756.0,75.0,b'Simbad',241.18537,-39.43466,241.18537,-39.43466
78809.0,91.0,b'Simbad',241.32978,-23.66912,241.32978,-23.66912
78820.0,50.0,b'Simbad',241.3593,-19.80545,241.3593,-19.80545
78821.0,67.0,b'Simbad',241.36071,-19.8019,241.36071,-19.8019
78830.0,63.0,b'Simbad',241.37875,-32.23801,241.37875,-32.23801
78847.0,89.0,b'Simbad',241.4308,-21.8388,241.4308,-21.8388
78853.0,55.0,b'Simbad',241.44283,-39.84331,241.44283,-39.84331
78877.0,61.0,b'Simbad',241.52657,-23.60631,241.52657,-23.60631
78918.0,72.0,b'Simbad',241.64811,-36.8023,241.64811,-36.8023
78933.0,91.0,b'Simbad',241.70178,-20.66919,241.70178,-20.66919
78956.0,93.0,b'Simbad',241.76947,-16.94326,241.76947,-16.94326
78963.0,72.0,b'Simbad',241.80281,-27.09947,241.80281,-27.09947
