Title: Memberships of the open cluster NGC 6405 based on a combined method: 
       Gaussian mixture model and random forest 
Authors: Gao X.
Table: A catalogue of fundamental information for 518 likely cluster members 
    with PRF >= 0.6
================================================================================
Byte-by-byte Description of file: ajaad690t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---   Gaia   Gaia DR2 identifier
  21- 35 F15.11 deg   RAdeg  Gaia DR2 Right Ascension, decimal degrees (J2000)
  37- 51 F15.11 deg   DEdeg  Gaia DR2 Declination, decimal degrees (J2000)
  53- 57 F5.3   ---   PRF    RF membership probability
--------------------------------------------------------------------------------
4054990297609728640 264.74076111565 -32.04365963388 0.967 
4054322889747802624 265.38995173841 -32.00129718303 0.966 
4054973083380449280 264.95840258492 -32.20671627338 0.966 
4054313101536149376 265.24393879427 -32.21448839452 0.965 
4054303785733032064 265.38776949231 -32.13533197646 0.965 
4054202497576911232 265.35511213448 -32.39351089947 0.965 
4055073718751630592 264.98049548684 -31.97058271049 0.963 
4054963771891332736 264.71540740072 -32.42835318094 0.963 
4054976072668334592 264.92675638131 -32.09926176390 0.962 
4054975248043996672 265.02987553305 -32.12150561142 0.962 
4055073650032221184 264.98813847633 -31.98780030813 0.962 
4054973079078214016 264.95785856631 -32.20005596873 0.962 
4054215760436618624 264.87697310834 -32.31824010246 0.961 
4054222013909021824 264.93545564804 -32.24824088630 0.961 
4055069428083885952 265.11429767870 -32.05043894981 0.959 
4054309626888618496 265.49504576239 -32.10008321426 0.958 
4054206547676638720 265.20816181014 -32.33904158219 0.958 
4054300491512116096 265.35643128346 -32.26045010393 0.957 
4054223250859500032 265.11480964634 -32.20237535260 0.956 
4054967104786052864 264.77156297128 -32.28234057246 0.955 
4054990362026744832 264.70865264249 -32.06277064810 0.954 
4054315609780021760 265.38194060925 -32.11403599208 0.954 
4054205383795126656 265.21500696274 -32.39483430840 0.953 
4054217027397968896 265.13413341385 -32.33088877178 0.953 
4054222215724918016 265.01080814612 -32.22372309120 0.953 
4054220021043973632 265.18412768967 -32.23226312142 0.952 
4054206341525668352 265.21851997650 -32.36159907401 0.952 
4054971532890372480 264.70095743939 -32.18522511487 0.951 
4054206341536523776 265.22137361043 -32.35807585991 0.951 
4054223491377699840 265.11626043051 -32.17565620076 0.950 
4055076089573025792 265.09662623793 -31.86088983690 0.950 
4054222357506517888 264.97332403134 -32.23828970279 0.950 
4054212083944506240 264.82066478426 -32.45892095994 0.946 
4054216035314142464 265.08629524962 -32.42987306262 0.944 
4054210606475617920 264.93039624307 -32.46467928437 0.939 
4054990362026751104 264.70465370465 -32.05486935623 0.936 
4054975110605068160 264.99462659002 -32.12785877523 0.935 
4054219570014660224 265.14309609081 -32.25551096403 0.934 
4054217203529933312 265.01777335283 -32.37748125990 0.934 
4054973804935060608 264.87071868265 -32.17850166939 0.934 
4054224487810175360 265.08718537311 -32.13666157009 0.934 
4054219432575707904 265.12690021295 -32.27867942821 0.933 
4054248505207936384 265.52575987892 -32.41520198427 0.931 
4054201428075436544 265.41206999794 -32.43497250583 0.928 
4054222524955169024 265.00174240774 -32.19466985386 0.923 
4054222323146647680 265.00925438783 -32.21048011527 0.920 
4054992561049716736 264.80056883783 -31.97123941511 0.918 
4054970880054958592 264.78799614832 -32.20031484797 0.917 
4054297223024088704 265.40727170117 -32.29896826013 0.915 
4054206929983425920 265.27764762626 -32.30413104811 0.914 
4054312826638878464 265.26351735444 -32.25139679485 0.913 
4054203356570529152 265.16132841684 -32.45883509193 0.911 
4054301625383514240 265.31766085802 -32.21321691804 0.910 
4054221116205815424 265.05838006161 -32.27061232235 0.907 
4054978679715996032 264.84091575884 -32.05086521214 0.906 
4055069733022041728 265.06622477648 -32.02370586570 0.903 
4054219501305678464 265.15226781107 -32.25978700626 0.902 
4054316159553143936 265.28652689514 -32.11483061417 0.900 
4054211602892753024 264.99159634412 -32.36482996582 0.900 
4054976381915444992 265.00072014927 -32.06704412559 0.897 
4054209090296969472 264.91473446293 -32.48032734519 0.897 
4054201844741846016 265.29710228562 -32.46187194666 0.896 
4054213217800979200 264.75811770744 -32.41820548737 0.894 
4054984245993292288 264.69351264345 -32.08153912656 0.893 
4054975591641435904 265.00619133428 -32.08744563298 0.893 
4054971601609474048 264.69280736724 -32.18608546103 0.891 
4054968715391393664 264.67701823805 -32.29229003926 0.890 
4054214729629289728 264.91501119740 -32.35136779668 0.889 
4054970192860192256 264.65366357688 -32.19943335904 0.888 
4054313135876596736 265.22295386978 -32.21631983108 0.888 
4054982291790680960 264.61186390445 -32.15381124975 0.887 
4054317701428317312 265.15808979262 -32.10396093108 0.886 
4054221292354421888 265.01953230814 -32.27204726230 0.885 
4054315296258176768 265.33933731571 -32.13452574356 0.884 
4054983661882059008 264.67306186514 -32.13224276766 0.884 
4054968474873220224 264.60839873935 -32.30101636666 0.883 
4054974870086867968 265.02315207732 -32.13305989966 0.881 
4054303034133012352 265.41453876249 -32.18744495715 0.881 
4054964832740926208 264.69229448877 -32.36739529711 0.880 
4055072928477086720 265.09507833462 -31.89906630769 0.879 
4054971915149637120 264.68525749397 -32.14946054496 0.878 
4054217237905160448 265.03492016349 -32.35629370158 0.876 
4054205276366232064 265.28213944540 -32.38674581014 0.876 
4054971739048432768 264.64739205996 -32.17790789591 0.875 
4054971812070404608 264.68602950627 -32.16539196394 0.875 
4054213114736757888 264.74923448448 -32.42783885461 0.872 
4054984280353033600 264.70506619004 -32.07978131445 0.871 
4054206380227606656 265.23043680213 -32.34649444741 0.870 
4054941575500452096 264.63377084559 -32.38683310374 0.868 
4054965760453893632 264.72707175655 -32.29319179711 0.867 
4055070630674742784 265.01680988053 -32.01092579411 0.866 
4054218646654358400 265.16349302096 -32.29975977873 0.865 
