Star,P2,P1,Gaia,TYC,HIP,RAJ2000,DEJ2000,Gmag,Jmag,RAVE,Group,Size,Np,_2M,SimbadName,RA,DEC
1708.0,0.0,1.0,1.3705582520932977e+18,b'2574-1771-1',,234.360013,32.819546,9.390999794006348,8.005000114440918,b'',1294.0,2.0,1.0,b'2M',b'TYC 2574-1771-1',234.360013,32.819546
1709.0,1.0,0.0,4.0679263912016294e+17,b'3277-797-1',,21.753206,51.385113,9.189000129699707,8.336000442504883,b'',996.0,2.0,1.0,b'2M',b'TYC 3277-797-1',21.753206,51.385113
1710.0,2.0,1.0,6.248761147450775e+18,b'6209-966-1',,242.045033,-19.080081,11.145000457763672,9.244999885559082,b'',4.0,72.0,104.0,b'2M',b'',242.045033,-19.080081
1711.0,4.0,27.0,4.578929917770035e+16,b'',20019.0,64.412765,16.947731,8.04699993133545,6.864999771118164,b'',2.0,118.0,710.0,b'2M',b'HIP 20019',64.412765,16.947731
1712.0,0.0,1.0,4.644691364628421e+18,b'9149-1615-1',,31.039624,-72.617155,10.692000389099121,9.843999862670898,b'',1295.0,2.0,1.0,b'2M',b'TYC 9149-1615-1',31.039624,-72.617155
1713.0,0.0,1.0,1.3706135025525883e+18,b'2574-1803-1',,234.069138,33.031849,10.282999992370605,9.24899959564209,b'',1296.0,2.0,1.0,b'2M',b'TYC 2574-1803-1',234.069138,33.031849
1714.0,1.0,0.0,6.248783275121193e+18,b'',79124.0,242.260804,-18.995667,7.7170000076293945,7.189000129699707,b'',4.0,72.0,104.0,b'2M',b'HIP 79124',242.260804,-18.995667
1715.0,1.0,0.0,4.964324102107042e+18,b'7550-522-1',,32.607153,-38.686874,10.803999900817871,9.970000267028809,b'',1139.0,2.0,1.0,b'2M',b'TYC 7550-522-1',32.607153,-38.686874
1716.0,0.0,1.0,3.2174785081714304e+18,b'4767-473-1',,84.769398,-1.230787,8.36299991607666,7.6479997634887695,b'',1297.0,2.0,1.0,b'2M',b'TYC 4767-473-1',84.769398,-1.230787
1717.0,1.0,0.0,5.912754929487205e+18,b'8741-141-1',,263.739937,-59.678358,11.47700023651123,10.35099983215332,b'',1117.0,2.0,1.0,b'2M',b'TYC 8741-141-1',263.739937,-59.678358
1718.0,0.0,2.0,3.0577121843908787e+18,b'4835-774-1',,115.012365,-3.60487,8.229999542236328,6.376999855041504,b'',164.0,3.0,2.0,b'2M',b'TYC 4835-774-1',115.012365,-3.60487
1719.0,1.0,0.0,3.0577122187506166e+18,b'',37349.0,114.997495,-3.598666,6.809999942779541,5.493000030517578,b'',164.0,3.0,2.0,b'2M',b'HIP 37349',114.997495,-3.598666
1720.0,0.0,1.0,5.385035012247795e+18,b'',56910.0,174.99947,-38.108834,8.536999702453613,7.86299991607666,b'',1298.0,2.0,1.0,b'2M',b'HIP 56910',174.99947,-38.108834
1721.0,1.0,0.0,4.624941696252498e+18,b'9369-238-1',,72.271093,-77.005674,9.96399974822998,9.006999969482422,b'20081006_0509m77_058',485.0,2.0,1.0,b'2M',b'TYC 9369-238-1',72.271093,-77.005674
1722.0,0.0,1.0,3.9713734991628237e+18,b'',54398.0,166.973083,16.880788,9.281000137329102,8.428999900817871,b'',1299.0,2.0,1.0,b'2M',b'HIP 54398',166.973083,16.880788
1723.0,0.0,1.0,6.800197289982844e+18,b'6912-956-1',,308.993296,-26.012038,10.348999977111816,9.288999557495117,b'20070601_2028m26_117',1300.0,2.0,1.0,b'2M',b'TYC 6912-956-1',308.993296,-26.012038
1724.0,0.0,1.0,5.447165047077902e+18,b'7193-778-1',,157.648917,-34.826416,12.006999969482422,10.92199993133545,b'',1301.0,2.0,1.0,b'2M',b'TYC 7193-778-1',157.648917,-34.826416
1725.0,0.0,1.0,2.826300755231657e+18,b'1726-2002-1',,353.845824,20.365749,8.871999740600586,8.090999603271484,b'',1302.0,2.0,1.0,b'2M',b'TYC 1726-2002-1',353.845824,20.365749
1726.0,0.0,1.0,1.8370165768903665e+18,b'2167-4-1',,303.689771,28.127982,10.446999549865723,9.50100040435791,b'',1303.0,2.0,1.0,b'2M',b'TYC 2167-4-1',303.689771,28.127982
