RIK,_2MASS,EWLi,e_EWLi,EWHa,e_EWHa,SpT,AV,D,_2M,Simbad,RA,DEC
95.0,b'J16093108-2041460',0.5299999713897705,0.029999999329447746,-9.0600004196167,0.05999999865889549,b'M4.5',1.0,0.0,b'2M',b'Simbad',242.37958333333327,-20.69611111111111
96.0,b'J16093164-2229224',0.3799999952316284,0.07000000029802322,-4.900000095367432,0.10000000149011612,b'M2.0',0.8999999761581421,1.0,b'2M',b'Simbad',242.3819166666666,-22.489555555555558
97.0,b'J16093575-2138057',0.550000011920929,0.009999999776482582,-3.6600000858306885,0.029999999329447746,b'M2.5',0.699999988079071,0.0,b'2M',b'Simbad',242.39899999999994,-21.634944444444443
98.0,b'J16093969-2200466',0.5099999904632568,0.029999999329447746,-3.0,0.07999999821186066,b'M0.5',0.699999988079071,0.0,b'2M',b'Simbad',242.4154166666666,-22.012944444444443
99.0,b'J16094955-2444468',0.550000011920929,0.009999999776482582,-4.75,0.10999999940395355,b'M1.5',0.4000000059604645,0.0,b'2M',b'Simbad',242.45645833333327,-24.746333333333336
100.0,b'J16095287-2441535',0.5099999904632568,0.05999999865889549,-15.069999694824219,0.4399999976158142,b'M5.5',0.8999999761581421,0.0,b'2M',b'Simbad',242.47033333333326,-24.698222222222224
101.0,b'J16100394-2728479',0.6399999856948853,0.05000000074505806,-7.639999866485596,0.1899999976158142,b'M4.5',0.800000011920929,0.0,b'2M',b'Simbad',242.51641666666666,-27.479999999999997
102.0,b'J16100501-2132318',0.4300000071525574,0.019999999552965164,-54.0099983215332,1.7100000381469727,b'M0.0',0.30000001192092896,1.0,b'2M',b'Simbad',242.52091666666664,-21.542194444444448
103.0,b'J16101445-1951377',0.6299999952316284,0.019999999552965164,-4.900000095367432,0.03999999910593033,b'M4.0',0.6000000238418579,0.0,b'2M',b'Simbad',242.56024999999997,-19.86041666666667
104.0,b'J16102625-2209105',0.6000000238418579,0.029999999329447746,-7.539999961853027,0.05000000074505806,b'M3.5',0.699999988079071,0.0,b'2M',b'Simbad',242.609375,-22.152916666666666
105.0,b'J16103978-2037094',0.6299999952316284,0.019999999552965164,-4.869999885559082,0.3499999940395355,b'M2.5',0.8999999761581421,0.0,b'2M',b'Simbad',242.66579166666665,-20.619305555555556
106.0,b'J16110479-2333166',0.38999998569488525,0.03999999910593033,-1.8799999952316284,0.12999999523162842,b'M0.0',0.0,0.0,b'2M',b'Simbad',242.77,-23.55461111111111
107.0,b'J16110567-2144032',0.6299999952316284,0.019999999552965164,-6.010000228881836,0.03999999910593033,b'M1.5',0.8999999761581421,0.0,b'2M',b'Simbad',242.77362499999995,-21.73425
108.0,b'J16111395-2019188',0.6499999761581421,0.03999999910593033,-12.079999923706055,0.36000001430511475,b'M3.5',0.800000011920929,0.0,b'2M',b'Simbad',242.808125,-20.321916666666667
109.0,b'J16111687-2639331',0.6000000238418579,0.05000000074505806,-5.849999904632568,0.20000000298023224,b'M5.0',0.5,0.0,b'2M',b'Simbad',242.82029166666666,-26.65919444444444
110.0,b'J16111744-2441203',0.6299999952316284,0.019999999552965164,-5.769999980926514,0.03999999910593033,b'M4.0',0.4000000059604645,0.0,b'2M',b'Simbad',242.82270833333328,-24.689
111.0,b'J16112601-2631558',0.5400000214576721,0.05000000074505806,-3.5899999141693115,0.10000000149011612,b'M2.0',0.699999988079071,1.0,b'2M',b'Simbad',242.8584583333333,-26.532194444444443
112.0,b'J16120505-2043404',0.5699999928474426,0.029999999329447746,-12.34000015258789,0.20000000298023224,b'M1.0',1.2000000476837158,1.0,b'2M',b'Simbad',243.0210416666666,-20.727916666666665
113.0,b'J16120668-3010270',0.550000011920929,0.029999999329447746,-33.77000045776367,0.14000000059604645,b'M0.5',0.20000000298023224,1.0,b'2M',b'Simbad',243.02783333333326,-30.174194444444446
114.0,b'J16120814-2547578',0.6600000262260437,0.029999999329447746,-6.590000152587891,0.07000000029802322,b'M3.5',0.6000000238418579,0.0,b'2M',b'Simbad',243.0339166666666,-25.79941666666667
115.0,b'J16121368-2431369',0.3100000023841858,0.029999999329447746,-4.25,0.05000000074505806,b'M2.5',0.6000000238418579,0.0,b'2M',b'Simbad',243.05704166666663,-24.526916666666665
116.0,b'J16121723-2839082',0.6100000143051147,0.05999999865889549,-7.139999866485596,0.5799999833106995,b'M4.5',0.20000000298023224,0.0,b'2M',b'Simbad',243.0718333333333,-28.652388888888886
117.0,b'J16123352-2543281',0.6899999976158142,0.05999999865889549,-8.520000457763672,0.2199999988079071,b'M4.0',0.6000000238418579,0.0,b'2M',b'Simbad',243.13974999999996,-25.72433333333333
118.0,b'J16123531-2034339',0.46000000834465027,0.029999999329447746,-2.299999952316284,0.07000000029802322,b'M0.5',0.800000011920929,0.0,b'2M',b'Simbad',243.14716666666664,-20.57611111111111
119.0,b'J16123604-2723031',0.38999998569488525,0.029999999329447746,1.059999942779541,0.029999999329447746,b'K4.0',1.2000000476837158,0.0,b'2M',b'Simbad',243.1502083333333,-27.38422222222222
120.0,b'J16130627-2606107',0.3799999952316284,0.029999999329447746,-6.110000133514404,0.07000000029802322,b'M3.5',0.699999988079071,0.0,b'2M',b'Simbad',243.2761666666666,-26.102972222222224
121.0,b'J16130978-2044591',0.5699999928474426,0.029999999329447746,-6.110000133514404,0.03999999910593033,b'M3.5',0.8999999761581421,0.0,b'2M',b'Simbad',243.29079166666662,-20.749750000000002
122.0,b'J16131008-2435248',0.6499999761581421,0.05999999865889549,-7.670000076293945,0.33000001311302185,b'M4.5',1.0,0.0,b'2M',b'Simbad',243.2920416666666,-24.59022222222222
123.0,b'J16132054-2229159',0.3799999952316284,0.019999999552965164,-4.179999828338623,0.07000000029802322,b'M1.5',0.4000000059604645,0.0,b'2M',b'Simbad',243.33562499999996,-22.487750000000002
124.0,b'J16132190-2136136',0.5299999713897705,0.029999999329447746,-21.989999771118164,0.20000000298023224,b'M1.5',0.20000000298023224,1.0,b'2M',b'Simbad',243.3412916666666,-21.603805555555557
125.0,b'J16133279-2044413',0.47999998927116394,0.019999999552965164,-1.9600000381469727,0.029999999329447746,b'M2.5',0.800000011920929,0.0,b'2M',b'Simbad',243.38662499999995,-20.744833333333336
126.0,b'J16133644-2326270',0.36000001430511475,0.019999999552965164,-5.869999885559082,0.03999999910593033,b'M2.5',0.4000000059604645,0.0,b'2M',b'Simbad',243.4018333333333,-23.440833333333334
127.0,b'J16133834-2158518',0.4300000071525574,0.03999999910593033,-4.619999885559082,0.11999999731779099,b'M4.5',0.800000011920929,0.0,b'2M',b'Simbad',243.40979166666662,-21.981111111111108
128.0,b'J16133840-2443309',0.33000001311302185,0.019999999552965164,-10.5600004196167,0.07000000029802322,b'M3.5',0.6000000238418579,0.0,b'2M',b'Simbad',243.40999999999994,-24.72533333333333
129.0,b'J16134490-2434143',0.4699999988079071,0.019999999552965164,-7.230000019073486,0.05000000074505806,b'M2.5',0.699999988079071,0.0,b'2M',b'Simbad',243.43708333333328,-24.570666666666668
130.0,b'J16135663-2457566',0.36000001430511475,0.019999999552965164,-5.079999923706055,0.03999999910593033,b'M3.5',0.699999988079071,0.0,b'2M',b'Simbad',243.48591666666658,-24.965777777777777
131.0,b'J16140380-2453088',0.41999998688697815,0.019999999552965164,-2.4800000190734863,0.05999999865889549,b'M1.0',0.6000000238418579,0.0,b'2M',b'Simbad',243.51583333333332,-24.885805555555557
132.0,b'J16140733-2217321',0.5699999928474426,0.05000000074505806,-4.96999979019165,0.18000000715255737,b'M1.0',0.0,0.0,b'2M',b'Simbad',243.530625,-22.29227777777778
